linc_#,prop_class,area_city,community,address,status,list_price,postal_code,sold_date,sold_price,listing_id_#,dom,flrarea_sf,totflrarea,rooms_ag,bedrms_ag,beds,full_baths,half_baths,baths,ensuite,yr_built,style,front_exp,frontagem,fp_y_n,encl_park,parking,condo_name,construction_type,flooring,list_pr___sqft,#_finished_levels,cumulative_dom,cumulative_domls,days_on_mls,bsmt_dev,garage_y_n,price_per_sqft,sold_pr___list_pr_ratio,price,sold_price_sq_ft,buyer_firm_1_-_office_name,listing_firm_1_-_office_name,legal_block,legal_lot,lot_sq_metres,legal_plan,full_address,location,latitude,longitude
35301712,DUPLEX,Edmonton,Chappelle Area,553 CHAPPELLE Drive,S,310000,T6W 2B5,2021-05-28,305000,E4244364,12,1096.84,101.9,5,2,2,3,1,3.1,Y,2017,ST2,NW,0.0,N,0,Double Garage Detached,,FRAME,Vinyl Plank,282.63,2,12,13,13,P-FIN,Yes,278.07,98.39,305000,278.07,Mozaic Realty Group,YEGPro Realty,5,49,0.0,1222992,"553 CHAPPELLE Drive, Edmonton, Alberta, Canada","Chappelle Drive, Chappelle, Heritage Valley, Edmonton, Alberta, T6W 2Z2, Canada",53.4063497,-113.557595
29199668,SF,Edmonton,Ritchie,9719 81 Avenue NW,S,259900,T6E 1W1,2004-04-29,252000,E2321054,263,1414.38,131.4,6,3,3,2,1,2.1,N,2003,ST2,N,9.7,N,0,No Garage,,FRAME,"Carpet, Ceramic Tile, Hardwood",183.76,2,263,261,261,U-FIN,No,178.17,96.96,252000,178.17,New Tech Realty,Realty Executives - Masters,55,13,0.0,2700R,"9719 81 Avenue NW, Edmonton, Alberta, Canada","9719, 81 Avenue NW, Ritchie, Mill Creek South, Greater Strathcona, Edmonton, Alberta, T6E 1S8, Canada",53.516853,-113.4807613
16765556,SF,Edmonton,Lynnwood,8111 158 Street NW,S,167000,T5R 2C2,2003-09-11,167000,E2323011,9,1040.87,96.7,6,3,4,2,0,2.0,N,1959,BUNG,W,0.0,N,2,Double Garage Detached,,FRAME,"Hardwood, Linoleum",160.44,2,9,8,8,F-FIN,Yes,160.44,100.0,167000,160.44,RE/MAX Elite,RE/MAX Elite,5,34,0.0,5559KS,"8111 158 Street NW, Edmonton, Alberta, Canada","8111, 158 Street NW, Lynnwood, Jasper Place, Edmonton, Alberta, T5R 4G7, Canada",53.5161436,-113.5946258
35855049,SF,Edmonton,Summerside,2311 71 Street,S,409900,T6W 0J5,2014-11-24,409900,E3393437,43,1573.9,146.22,6,3,3,2,1,2.1,Y,2014,ST2,W,7.7,N,0,Parking Pad Cement/Paved,,FRAME,"Carpet, Hardwood, Non-Ceramic Tile",260.44,2,43,37,37,U-FIN,No,260.44,100.0,409900,260.44,REALTORSÂ® Association of Edmonton,Jayman Realty (Edm.) Inc,60,9,269.51,1324301,"2311 71 Street, Edmonton, Alberta, Canada","71 Street NW, King Edward Park, Mill Creek South, Edmonton, Alberta, T6B 2R2, Canada",53.5152187,-113.4368145
21844254,COND,Edmonton,Queen Mary Park,208 10730 112 Street,S,115000,T5H 3H2,2006-10-30,115000,E3071746,20,699.65,65.0,3,1,1,1,0,1.0,N,1981,APART,E,0.0,N,0,,Donna Manor,FRAME,See Remarks,164.37,1,20,20,20,NBASE,No,164.37,100.0,115000,164.37,Royal Lepage Noralta Real Estate,Sutton Premiere Real Estate,17,,79.21,9220769,"208 10730 112 Street, Edmonton, Alberta, Canada",,,
29823671,COND,Edmonton,Oliver,L1 9955 114 Street,S,229900,T5K 1P7,2006-09-18,235000,E3067562,26,946.15,87.9,4,2,2,2,0,2.0,Y,1947,APART,W,0.0,N,0,Off Street,Westminster The,FRAME,"Laminate Flooring, Linoleum",242.99,1,26,21,21,NBASE,No,248.38,102.22,235000,248.38,MaxWell Challenge Realty,Century 21 Platinum Realty,,,46.58,321240,"L1 9955 114 Street, Edmonton, Alberta, Canada",,,
11119864,COND,Edmonton,West Meadowlark Park,28 C MEADOWLARK Village,S,210000,T5R 5X4,2007-12-23,202000,E3116803,75,1399.31,130.0,6,3,3,1,1,1.1,N,1970,ST3,S,0.0,N,0,Stall,Meadowlark Village,FRAME,"Carpet, Ceramic Tile, Laminate Flooring",150.07,3,75,73,73,,No,144.36,96.19,202000,144.36,Century 21 All Stars Realty Ltd,Century 21 All Stars Realty Ltd,143,,169.11,8822712,"28 C MEADOWLARK Village, Edmonton, Alberta, Canada","Meadowlark Village, Jasper Place, Edmonton, Alberta, Canada",53.5211678,-113.6076543
18890327,SF,Edmonton,High Park,15419 110A Avenue,S,379900,T5P 1H6,2007-06-14,374900,E3091308,35,1033.33,96.0,6,3,3,2,0,2.0,N,1965,BUNG,N,0.0,Y,2,"Double Garage Detached, Over Sized, RV Parking",,FRAME,"Carpet, Hardwood, Laminate Flooring",367.64,1,35,34,34,F-FIN,Yes,362.81,98.68,374900,362.81,Century 21 Vantage Realty Ltd,Royal Lepage Preferred Real Estate,6,11,604.29,3730MC,"15419 110A Avenue, Edmonton, Alberta, Canada","15419, 110A Avenue NW, High Park, Jasper Place, Edmonton, Alberta, T5P 2K2, Canada",53.5577245,-113.5885348
30007942,SF,Edmonton,Ellerslie,8413 6 Avenue,S,437500,T6X 1J1,2016-11-25,426000,E4041373,38,1807.04,167.88,7,3,3,2,1,2.1,Y,2004,ST2,N,0.0,Y,2,Double Garage Attached,,FRAME,"Carpet, Ceramic Tile, Hardwood",242.11,2,38,38,38,U-FIN,Yes,235.74,97.37,426000,235.74,REALTORSÂ® Association of Edmonton,Comfree Commonsense Network,13,6,364.68,323885,"8413 6 Avenue, Edmonton, Alberta, Canada","8413, 6 Avenue SW, Ellerslie Crossing, Ellerslie, Edmonton, Alberta, T6X 0C5, Canada",53.4270663,-113.4623011
13353305,SF,Edmonton,Daly Grove,2023 35 Street,S,209900,T6L 3G1,2006-05-26,225000,E3058924,7,1151.74,107.0,6,3,3,1,1,1.1,Y,1981,BUNG,W,0.0,N,0,,,FRAME,"Linoleum, Wall to Wall Carpet",182.25,1,7,6,6,P-FIN,No,195.36,107.19,225000,195.36,Sutton Premiere Real Estate,MaxWell Devonshire,20,38,554.61,7823018,"2023 35 Street, Edmonton, Alberta, Canada","2023, 35 Street NW, Daly Grove, Southwood, Mill Woods, Edmonton, Alberta, T6L 4M4, Canada",53.451723,-113.3948074
25890253,COND,Edmonton,Terra Losa,402 9620 174 Street NW,S,122900,T5T 6B9,2002-12-18,117500,E2225076,10,1181.88,109.8,6,3,3,2,0,2.0,N,1994,,SE,0.0,N,0,Stall,Pointe West The,FRAME,"Linoleum, Wall to Wall Carpet",103.99,1,10,10,10,,No,99.42,95.61,117500,99.42,RE/MAX Real Estate,Realty Executives Synergy,110,,0.0,9420254,"402 9620 174 Street NW, Edmonton, Alberta, Canada",,,
16855083,SF,Edmonton,Beverly Heights,3626 106 Avenue,S,290000,T5W 0C5,2016-09-27,280000,E4037333,14,895.34,83.18,4,2,3,2,0,2.0,N,1957,BUNG,S,0.0,N,2,Double Garage Detached,,FRAME,"Carpet Over Hardwood, Laminate Flooring, Linoleum",323.9,2,14,14,14,F-FIN,Yes,312.73,96.55,280000,312.73,RE/MAX Elite,RE/MAX Elite,24,23,557.0,5365HW,"3626 106 Avenue, Edmonton, Alberta, Canada","3626, 106 Avenue NW, Beverly Heights, Beverly, Edmonton, Alberta, T5W 1Y7, Canada",53.559762,-113.3979366
35431759,SF,Edmonton,Carlton,13512 164 Avenue,S,420000,T6V 0J9,2020-09-01,418000,E4205016,46,1687.78,156.8,6,3,4,3,1,3.1,Y,2015,ST2,S,0.0,N,0,Double Garage Detached,,FRAME,"Carpet, Ceramic Tile, Laminate Flooring",248.85,3,46,46,46,F-FIN,Yes,247.66,99.52,418000,247.66,Royal LePage Noralta Real Estate,Century 21 All Stars Realty Ltd,69,33,346.25,1224294,"13512 164 Avenue, Edmonton, Alberta, Canada",,,
13601323,SF,Edmonton,Dunluce,16515 113 Street,S,339900,T5X 4T2,2017-08-21,318000,E4066938,83,1285.96,119.47,6,3,4,3,0,3.0,Y,1981,SPLT4,NW,0.0,N,0,Double Garage Attached,,FRAME,"Ceramic Tile, Hardwood, Linoleum",264.32,3,83,81,81,P-FIN,Yes,247.29,93.56,318000,247.29,Sterling Real Estate,Royal Lepage Arteam Realty,51,77,0.0,7822186,"16515 113 Street, Edmonton, Alberta, Canada","16515, 113 Street NW, Dunluce, Castle Downs, Edmonton, Alberta, T5X 2R2, Canada",53.6268243,-113.5166449
20590908,SF,Edmonton,Montrose,12010 66 Street,S,189000,T5B 1J6,2009-07-13,170000,E3191355,13,776.4,72.13,4,2,2,1,0,1.0,N,1957,BUNG,E,10.07,N,1,Single Garage Detached,,FRAME,"Carpet, Linoleum",243.43,2,13,13,13,P-FIN,Yes,218.96,89.95,170000,218.96,Sutton Premiere Real Estate,Royal Lepage Noralta Real Estate,12,27,0.0,1307P,"12010 66 Street, Edmonton, Alberta, Canada","12010, 66 Street NW, Montrose, Greater Highlands, Edmonton, Alberta, T5B 1R1, Canada",53.5737929,-113.4432404
17485062,SF,Edmonton,Mcleod,14432 62 Street NW,S,164900,T5A 2A8,2003-04-08,160200,E2306956,12,1039.79,96.6,5,3,4,2,0,2.0,N,1968,BUNG,E,15.2,N,2,Double Garage Detached,,FRAME,"Carpet, Hardwood, Linoleum",158.59,2,12,8,8,F-FIN,Yes,154.07,97.15,160200,154.07,RE/MAX Real Estate Centre,RE/MAX Real Estate Centre,29,20,0.0,4606NY,"14432 62 Street NW, Edmonton, Alberta, Canada","14432, 62 Street NW, McLeod, York, Casselman-Steele Heights, Edmonton, Alberta, T5A 2E9, Canada",53.6067477,-113.4373885
26806364,SF,Edmonton,Klarvatten,8324 171 Avenue,S,219800,T5Z 3E3,2005-03-29,220000,E3023016,30,1243.23,115.5,6,3,4,2,1,2.1,Y,1997,BLEVL,S,12.21,Y,2,"Double Garage Attached, Front Drive Access, Insulated, Parking Pad Cement/Paved",,FRAME,"Ceramic Tile, Laminate Flooring, Wall to Wall Carpet",176.8,2,30,29,29,F-FIN,Yes,176.96,100.09,220000,176.96,RE/MAX Real Estate,RE/MAX River City,13,5,414.66,9623154,"8324 171 Avenue, Edmonton, Alberta, Canada",,,
25739707,COND,Edmonton,Tawa,#26 - 603 YOUVILLE Drive E,S,220500,T6L 6V8,2018-03-14,212000,E4081400,185,1237.85,115.0,6,3,3,1,1,1.1,N,1993,ST2,E,0.0,N,0,Stall,Parkside,FRAME,"Carpet, Linoleum",178.13,2,368,367,185,P-FIN,No,171.26,96.15,212000,171.26,RE/MAX Elite,RE/MAX Elite,81,,0.0,9323322,"#26 - 603 YOUVILLE Drive E, Edmonton, Alberta, Canada",,,
0036462497,SF,Edmonton,Trumpeter Area,20835 130 Avenue,S,765000,T5S 0L4,2025-04-14,758500,E4426928,24,2438.99,226.59,7,3,5,3,1,3.1,Y,2019,ST2,N,0.0,N,2,"Double Garage Attached, Heated, Insulated",,FRAME,"Carpet, Engineered Wood, Vinyl Plank",313.65,3,44,44,24,F-FIN,Yes,310.99,99.15,758500,310.99,RE/MAX River City,RE/MAX River City,8,88,467.89,1425609,"20835 130 Avenue, Edmonton, Alberta, Canada","130 Avenue NW, Athlone, Northern Mature Area, Edmonton, Alberta, T5L 4S5, Canada",53.5890375,-113.5575605
0021138276,SF,Edmonton,Ottewell,6931 91 Avenue,S,484888,T6B 0R5,2024-03-08,470000,E4367422,91,1164.65,108.2,4,1,3,3,0,3.0,Y,1961,BUNG,N,0.0,Y,1,"Single Carport, Single Garage Attached",,FRAME,"Carpet, Ceramic Tile, Laminate Flooring",416.34,2,104,104,91,F-FIN,Yes,403.55,96.93,470000,403.55,RE/MAX River City,RE/MAX Real Estate,30,50,0.0,276MC,"6931 91 Avenue, Edmonton, Alberta, Canada","6931, 91 Avenue NW, Ottewell, Edmonton, Alberta, T6B 0T7, Canada",53.5260906,-113.434617
